price,name,sold,img,link
800,"Nature's Bounty Advanced Hair, Skin & Nails Gummies, w/ over 2x biotin 6,000 mcg per serving",,https://down-ph.img.susercontent.com/file/b84195a764004ad6150e83fc5c540343_tn,https://shopee.ph/Nature's-Bounty-Advanced-Hair-Skin-Nails-Gummies-w-over-2x-biotin-6-000-mcg-per-serving-i.67102570.19617454731?sp_atk=fa6c817c-bf0a-45f7-b10e-edc7487f6c1a&xptdk=fa6c817c-bf0a-45f7-b10e-edc7487f6c1a
450,"Bath and Body Works Mist, Sun-washed Citrus, 236ml",1 sold,https://down-ph.img.susercontent.com/file/c8db1683bf42aa02b39884e12fa0255d_tn,https://shopee.ph/Bath-and-Body-Works-Mist-Sun-washed-Citrus-236ml-i.67102570.12294646932?sp_atk=39033239-39a1-40e6-98c8-6936eebf0ed9&xptdk=39033239-39a1-40e6-98c8-6936eebf0ed9
450,"Original Bath and Body Works Mist, Pink Tie Dye, 236ml",,https://down-ph.img.susercontent.com/file/b940b84df9beca6239974daf5c0ec6f4_tn,https://shopee.ph/Original-Bath-and-Body-Works-Mist-Pink-Tie-Dye-236ml-i.67102570.20518601688?sp_atk=25464c8c-5735-4b1e-a1b7-c6c826568a77&xptdk=25464c8c-5735-4b1e-a1b7-c6c826568a77
525,"Bath and Body Works Mist, Night Blooming Jasmine, 236ml",,,https://shopee.ph/Bath-and-Body-Works-Mist-Night-Blooming-Jasmine-236ml-i.67102570.18917258282?sp_atk=2fcaa34e-a428-4cbc-8d47-ad3639062829&xptdk=2fcaa34e-a428-4cbc-8d47-ad3639062829
460,"Original Bath and Body Works Mist, Country Apple, 236ml",,https://down-ph.img.susercontent.com/file/b66ce52a12c9c92be27edd6a368466f8_tn,https://shopee.ph/Original-Bath-and-Body-Works-Mist-Country-Apple-236ml-i.67102570.20816373322?sp_atk=515d1ce0-06dc-487d-b57f-41d9c14594eb&xptdk=515d1ce0-06dc-487d-b57f-41d9c14594eb
575,"Original Bath and Body Works Mist, Dark Kiss, 236ml",,https://down-ph.img.susercontent.com/file/00bbb19e510e430da593c70d79dda3b6_tn,https://shopee.ph/Original-Bath-and-Body-Works-Mist-Dark-Kiss-236ml-i.67102570.21318486232?sp_atk=75f772c2-eed6-4dce-8fb2-27b96a29862b&xptdk=75f772c2-eed6-4dce-8fb2-27b96a29862b
499,"Original Bath and Body Works Mist, Sweet Pea, 236ml",,https://down-ph.img.susercontent.com/file/0c95cdb548da252a2b6a241796bdfce0_tn,https://shopee.ph/Original-Bath-and-Body-Works-Mist-Sweet-Pea-236ml-i.67102570.21518483250?sp_atk=7ae0fd76-4d0c-4521-8701-e1c69da45005&xptdk=7ae0fd76-4d0c-4521-8701-e1c69da45005
499,"Bath and Body Works Mist, Paris Amour, 236ml",,https://down-ph.img.susercontent.com/file/73d822d90459870ef58353b496d9490d_tn,https://shopee.ph/Bath-and-Body-Works-Mist-Paris-Amour-236ml-i.67102570.17477715969?sp_atk=668358ad-385a-40a7-9f22-806a65c714e2&xptdk=668358ad-385a-40a7-9f22-806a65c714e2
499,"Original Bath and Body Works Mist, Sea Island Shore, 236ml",,,https://shopee.ph/Original-Bath-and-Body-Works-Mist-Sea-Island-Shore-236ml-i.67102570.20318168026?sp_atk=9870a76e-f742-4203-a4d3-860946cbdaf0&xptdk=9870a76e-f742-4203-a4d3-860946cbdaf0
510,"Original Bath and Body Works Mist, Frosted Coconut Snowball, 236ml",,https://down-ph.img.susercontent.com/file/f8e26aed9d109a7f240813de3c903e6f_tn,https://shopee.ph/Original-Bath-and-Body-Works-Mist-Frosted-Coconut-Snowball-236ml-i.67102570.18210535074?sp_atk=bfa8bc39-321a-4990-bede-af719266bea6&xptdk=bfa8bc39-321a-4990-bede-af719266bea6
